procedure_code,description
710839006,Assessment of cardiac status using monitoring device (procedure)
371908008,Oxygen administration by mask (procedure)
15220000,Laboratory test (procedure)
165197003,Diagnostic assessment (procedure)
284053004,Tooth socket procedure (procedure)
261352009,Face mask (physical object)
228557008,Cognitive and behavioral therapy (regime/therapy)
76601001,Intramuscular injection (procedure)
169553002,Insertion of subcutaneous contraceptive (procedure)
443529005,Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure)
91251008,Physical therapy procedure (regime/therapy)
118001005,Streptococcus pneumoniae group B antigen assay (procedure)
85548006,Episiotomy (procedure)
269911007,Sputum examination (procedure)
713024005,Plain X-ray of wrist region (procedure)
237001001,Augmentation of labor (procedure)
288086009,Suture open wound (procedure)
384700001,Injection of tetanus antitoxin (procedure)
10383002,Counseling for termination of pregnancy (procedure)
714812005,Induced termination of pregnancy (procedure)
713026007,Plain X-ray of humerus (procedure)
31208007,Medical induction of labor (procedure)
762993000,Assessment using Morse Fall Scale (procedure)
386394001,Pregnancy termination care (regime/therapy)
200619008,Comprehensive interview and evaluation (procedure)
711069006,Coordination of care plan (procedure)
385781007,Home health aide service (regime/therapy)
65546002,Extraction of wisdom tooth (procedure)
268533009,Sterilization education (procedure)
301807007,Removal of subcutaneous contraceptive (procedure)
430701006,Resuscitation using intravenous fluid (procedure)
449214001,Transfer to stepdown unit (procedure)
271280005,Removal of endotracheal tube (procedure)
71493000,Transfusion of packed red blood cells (procedure)
306706006,Discharge to ward (procedure)
367494004,Premature birth of newborn (finding)
310417005,Certification procedure (procedure)
185087000,Notifications (procedure)
385763009,Hospice care (regime/therapy)
311791003,Information gathering (procedure)
168594001,Plain X-ray of clavicle (procedure)
305428000,Admission to orthopedic department (procedure)
79345008,Excision of maxillary torus palatinus (procedure)
698560000,Referral to sleep apnea clinic (procedure)
446573003,Continuous positive airway pressure titration (procedure)
171231001,Asthma screening (procedure)
306206005,Referral to service (procedure)
1290407002,Plain X-ray of knee region (procedure)
392091000,Care regimes assessment (procedure)
265764009,Renal dialysis (procedure)
306316000,Referral to transplant surgeon (procedure)
23933004,Excision of lingual frenum (procedure)
713021002,Plain X-ray of pelvis (procedure)
473231009,Renal disorder medication review (procedure)
711446003,Transplantation of kidney regime (regime/therapy)
371361000119107,Comprehensive metabolic panel (procedure)
43075005,Partial resection of colon (procedure)
762998009,Assessment using New York Heart Association Classification (procedure)
