drug_code,description
311354,lisinopril 5 MG Oral Tablet
898342,amlodipine 10 MG / benazepril hydrochloride 20 MG Oral Capsule
351136,albuterol 0.417 MG/ML Inhalation Solution
1997015,bivalirudin 50 ML; 5 MG/ML Injection
1091392,Methylphenidate Hydrochloride 20 MG Oral Tablet
259255,atorvastatin 80 MG Oral Tablet
1723208,10 ML Alfentanil 0.5 MG/ML Injection
310385,FLUoxetine 20 MG Oral Capsule
309045,Cefaclor 250 MG Oral Capsule
197887,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet
856980,Acetaminophen/Hydrocodone
749785,Ortho Tri-Cyclen 28 Day Pack
1014678,cetirizine hydrochloride 10 MG Oral Tablet
1359133,Estrostep Fe 28 Day Pack
311353,lisinopril 2.5 MG Oral Tablet
